dev,dev_type,dev_loc,dev_abs,isi,no_tones,base_freq,freq_dev,freq_dev_type,freq_loc,freq_dev_no,trial_no,block_no,iti,freq_diff,freq_diff_abs
,,,,700,7,40000,,,,,60,2,2365,[False],[False]
63,late,6,63,700,7,192,[440],['higher'],[5],1,61,2,2330,[248],[248]
27,late,6,27,700,7,392,[False],['standard'],[False],0,62,2,2390,[False],[False]
,,,,700,7,40000,,,,,63,2,2186,[False],[False]
0,on_time,4,0,700,7,440,[220],['lower'],[3],1,64,2,2432,[-220],[220]
,,,,700,7,40000,,,,,65,2,2008,[False],[False]
0,on_time,5,0,700,7,392,"[440, 220]","['higher', 'lower']","[3, 7]",2,66,2,2143,"[48, -172]","[48, 172]"
4,late,6,4,700,7,440,"[220, 220]","['lower', 'lower']","[4, 3]",2,67,2,2302,"[-220, -220]","[220, 220]"
,,,,700,7,40000,,,,,68,2,2334,[False],[False]
100,late,4,100,700,7,440,"[192, 192]","['lower', 'lower']","[2, 3]",2,69,2,2183,"[-248, -248]","[248, 248]"
48,late,4,48,700,7,220,"[392, 392, 392]","['higher', 'higher', 'higher']","[2, 6, 3]",3,70,2,2043,"[172, 172, 172]","[172, 172, 172]"
,,,,700,7,40000,,,,,71,2,2431,[False],[False]
100,late,5,100,700,7,220,"[440, 392, 440]","['higher', 'higher', 'higher']","[7, 3, 2]",3,72,2,2060,"[220, 172, 220]","[220, 172, 220]"
-8,early,5,8,700,7,192,[220],['higher'],[7],1,73,2,2280,[28],[28]
,,,,700,7,40000,,,,,74,2,2034,[False],[False]
-48,early,4,48,700,7,392,[440],['higher'],[3],1,75,2,2458,[48],[48]
4,late,5,4,700,7,220,[False],['standard'],[False],0,76,2,2131,[False],[False]
-19,early,4,19,700,7,220,"[192, 192]","['lower', 'lower']","[7, 3]",2,77,2,2310,"[-28, -28]","[28, 28]"
,,,,700,7,40000,,,,,78,2,2442,[False],[False]
8,late,6,8,700,7,220,"[192, 440]","['lower', 'higher']","[4, 2]",2,79,2,2038,"[-28, 220]","[28, 220]"
-36,early,4,36,700,7,192,"[392, 440]","['higher', 'higher']","[3, 2]",2,80,2,2205,"[200, 248]","[200, 248]"
